"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"4535","DE","2018-10-31","USD",37357700000,-25571200000,11786500000,-6512200000,-3455500000,-1657600000,NA,5274300000,-1203600000,-1203600000,4070700000,NA,4070700000,-1726900000,2370600000,NA,2368400000,2368400000,2370600000,1603100000,-4080500000,-1531100000,-1772300000,NA,-777100000,1820300000,586300000,-56200000,-5089400000,-8154400000,-805800000,2515700000,-7.41e+08,876400000,-5430900000,373449,2018,"Q4","2018-12-17","2018-12-17",319900000,329200000,4394100000,5004300000,6148900000,4.838e+10,13032900000,NA,8695100000,2.1728e+10,7.0108e+10,1.0111e+10,15018700000,31565400000,27237400000,27237400000,58802800000,4474200000,-16311800000,2.7553e+10,11305200000,7.0108e+10,"DEERE & CO",100009
"4550","DENN","2018-12-31","USD",630179000,-402370000,227809000,-154195000,-63828000,NA,-27039000,73614000,-21364000,-20745000,52250000,NA,52250000,-8557000,43693000,NA,43693000,43693000,43693000,15399000,-12441000,NA,NA,NA,NA,73690000,-22025000,-1700000,NA,-32017000,NA,24319000,-60012000,-41630000,43000,986862,2018,"Q4","2019-02-25","2020-02-24",62134000,63652000,6735000,26283000,2993000,47600000,117251000,NA,170498000,287749000,335349000,29527000,NA,94727000,286500000,373967000,468694000,594030000,-416815000,-306414000,-133345000,335349000,"DENNY'S Corp",103003
"4559","DEST","2019-02-28","USD",383750000,-185603000,198147000,-198331000,-198331000,NA,NA,-184000,-4828000,-4828000,-5012000,-9418000,-14430000,103000,-14327000,NA,-14327000,-14327000,-14327000,5233000,-8222000,NA,NA,NA,NA,-1811000,-4612000,NA,NA,-4612000,NA,6715000,1000,5946000,-481000,175862,2018,"Q4","2019-04-16","2019-09-17",13999000,13875000,1154000,7945000,70872000,89378000,51483000,NA,5313000,56796000,146174000,52910000,4372000,77682000,21784000,41341000,119023000,107819000,NA,-80594000,27151000,146174000,"Destination Maternity Corp",103002
"4569","DF","2018-12-31","USD",7755283000,-6100005000,1655278000,-1699004000,-1680837000,NA,-20456000,-43726000,-51381000,-56443000,-95107000,-279406000,-374513000,42283000,-332230000,4872000,-326900000,-326900000,-327358000,200982000,123311000,NA,NA,NA,NA,152962000,-95900000,NA,-13324000,-109224000,-27405000,-8668000,-1000,-36074000,7664000,824643,2018,"Q4","2019-02-28","2019-02-28",91404394,91404394,24176000,589263000,255484000,912280000,1006182000,NA,200030000,1206212000,2118492000,699661000,1174000,700835000,905170000,1102925000,1803760000,662544000,NA,-260977000,314732000,2118492000,"DEAN FOODS CO",102002
"4578","DG","2019-02-28","USD",25625043000,-17821173000,7803870000,-5687564000,-5687564000,NA,NA,2116306000,-100890000,-99871000,2015416000,NA,2015416000,-425944000,1589472000,NA,1589472000,1589472000,1589472000,136074000,-36130000,NA,-521342000,375214000,109998000,2143550000,-731603000,NA,NA,-731603000,-306523000,-141126000,-1007494000,-1443901000,-31954000,80798,2018,"Q4","2019-03-22","2019-03-22",261406000,262537000,235487000,NA,4097004000,4663020000,2970806000,NA,5570212000,8541018000,13204038000,3013907000,1950000,3015857000,2862740000,3770788000,6786645000,3479493000,NA,2941107000,6417393000,13204038000,"DOLLAR GENERAL CORP",102001
"4591","DGX","2018-12-31","USD",7.531e+09,-4.926e+09,2.605e+09,-1.5e+09,-1.424e+09,NA,-9e+07,1.105e+09,-1.75e+08,-1.67e+08,9.3e+08,-4e+06,9.26e+08,-1.82e+08,7.88e+08,NA,7.36e+08,7.36e+08,7.88e+08,1.52e+08,-4.9e+07,NA,NA,NA,NA,1.2e+09,-3.83e+08,NA,-4.19e+08,-8.01e+08,-2.66e+08,1.24e+08,-2.23e+08,-4.01e+08,-2e+06,341807,2018,"Q4","2019-02-21","2019-02-21",1.36e+08,1.39e+08,1.35e+08,1.012e+09,9.9e+07,1.39e+09,1.288e+09,4.36e+08,7.889e+09,9.613e+09,1.1003e+10,1.021e+09,4.64e+08,1.485e+09,3.429e+09,4.174e+09,5.659e+09,2.669e+09,-4.996e+09,7.602e+09,5.344e+09,1.1003e+10,"QUEST DIAGNOSTICS INC",106001
"4600","DHR","2018-12-31","USD",1.9893e+10,-8785900000,11107100000,-7703300000,-6472100000,-1231200000,NA,3403800000,-1.11e+08,-148200000,3292800000,0,3292800000,-641900000,2650900000,0,2650900000,2650900000,2650900000,153500000,-90100000,-58300000,-143300000,225800000,-114300000,4.022e+09,-649400000,-126700000,-2173300000,-2949400000,-433400000,-442100000,9.6e+07,-797400000,157500000,89750,2018,"Q4","2019-02-21","2019-04-18",702200000,711200000,787800000,3489600000,1910100000,7093800000,2511200000,NA,38227500000,40738700000,47832500000,4789700000,51800000,4841500000,9688500000,14764300000,19605800000,5842500000,NA,2.5163e+10,28226700000,47832500000,"DANAHER CORP /DE/",106001
"4609","DHX","2018-12-31","USD",161570000,-18344000,143226000,-127284000,-97310000,-20212000,-9762000,15942000,-2090000,-2054000,13852000,-4250000,9602000,-2428000,7174000,NA,7174000,7174000,7174000,6278000,-8296000,NA,NA,NA,NA,14918000,7489000,0,NA,7489000,NA,-2.4e+07,-1977000,-27174000,-5596000,653310,2018,"Q4","2019-02-08","2019-02-08",48320000,50334000,6472000,22850000,NA,38855000,15890000,NA,203640000,219530000,258385000,26198000,NA,80921000,17288000,32109000,113030000,383999000,-278843000,71435000,145355000,258385000,"DHI GROUP, INC.",100011
"4618","DIN","2018-12-31","USD",780931000,-427844000,353087000,-176788000,-166683000,NA,-10105000,176299000,-61686000,-61686000,114613000,-4005000,110608000,-30254000,80354000,NA,80354000,77643000,80354000,-2620000,30437000,NA,NA,NA,NA,140346000,-13624000,NA,-20155000,-14801000,-51125000,-1907000,-29675000,-88312000,37233000,545516,2018,"Q4","2019-02-21","2019-02-21",17446000,17770000,137164000,137504000,NA,382190000,240264000,NA,1152226000,1392490000,1774680000,106579000,39031000,316186000,1361849000,1660767000,1976953000,237976000,-450603000,10414000,-202273000,1774680000,"DineEquity, Inc",103003
"4629","DIS","2018-09-30","USD",5.9434e+10,-3.2726e+10,2.6708e+10,-1.1871e+10,-8.86e+09,NA,-3.011e+09,1.4837e+10,-7.5e+07,-5.74e+08,1.4762e+10,-3.3e+07,1.4729e+10,-1.663e+09,1.3066e+10,NA,1.2598e+10,1.2598e+10,1.3066e+10,-4.22e+08,-1.36e+09,NA,NA,NA,NA,1.4295e+10,-4.465e+09,NA,-1.581e+09,-5.336e+09,-2.515e+09,-2.583e+09,-3.367e+09,-8.843e+09,9.1e+07,261356,2018,"Q4","2018-11-21","2018-11-21",1.49e+09,1.499e+09,4.15e+09,9.334e+09,1.392e+09,1.6825e+10,2.954e+10,2.899e+09,4.9334e+10,8.1773e+10,9.8598e+10,9.479e+09,3.79e+09,1.786e+10,1.7084e+10,2.6783e+10,4.4643e+10,3.6779e+10,-6.7588e+10,8.2679e+10,5.3955e+10,9.8598e+10,"The Walt Disney Company",103001
"4641","DISCA","2018-12-31","USD",1.0553e+10,-3.935e+09,6.618e+09,-4.018e+09,-2.62e+09,NA,-1.398e+09,2.6e+09,-8.49e+08,-7.29e+08,1.751e+09,-6.66e+08,1.085e+09,-3.41e+08,6.81e+08,NA,5.94e+08,5.94e+08,6.81e+08,5.49e+08,-5.2e+07,-8.4e+07,NA,-7.4e+07,1.06e+08,2.576e+09,-7.9e+07,-6.1e+07,-8.458e+09,-8.593e+09,NA,-2.71e+08,5.4e+07,-2.83e+08,-6.323e+09,120376,2018,"Q4","2019-03-01","2019-08-06",2.5e+07,6e+06,9.86e+08,2.62e+09,NA,4.231e+09,8e+08,NA,2.7519e+10,2.8319e+10,3.255e+10,1.929e+09,1.819e+09,3.997e+09,1.4974e+10,1.8036e+10,2.2033e+10,1.0654e+10,-6.737e+09,5.254e+09,1.0517e+10,3.255e+10,"Discovery Communications, Inc.",103001
"4652","DISH","2018-12-31","USD",13621302000,-769307000,12851995000,-10704374000,-725601000,NA,-712024000,2147621000,41554000,29753000,2189175000,NA,2189175000,-533684000,1655491000,NA,1575091000,1575091000,1655491000,475749000,-325423000,NA,NA,NA,NA,2517841000,-393938000,-673680000,NA,-1975273000,NA,-42767000,19981000,-1134545000,-591977000,741324,2018,"Q4","2019-02-13","2019-02-13",467763000,526175000,2068817000,639855000,290733000,3289205000,1928180000,118992000,25250635000,27297807000,30587012000,2778827000,1341993000,4776132000,13810784000,16756623000,21532755000,3383772000,NA,5212790000,9054257000,30587012000,"DISH Network CORP",108001
"4655","DK","2018-12-31","USD",10233100000,-9137100000,1.096e+09,-484100000,-247600000,NA,-161300000,611900000,-103100000,-120100000,508800000,-23300000,485500000,-101900000,383600000,-8700000,340100000,340100000,383600000,-3200000,10600000,NA,NA,NA,NA,560300000,-257100000,NA,110800000,-125300000,-80100000,236700000,-365300000,-297600000,137400000,823947,2018,"Q4","2019-02-08","2019-08-08",81319555,85555582,1079300000,514400000,690900000,2420300000,2194900000,130300000,1015100000,3340300000,5760600000,1011200000,3.2e+07,1663500000,1800900000,2.289e+09,3952500000,1136300000,-514100000,981800000,1808100000,5760600000,"Delek US Holdings, Inc.",107001
"4665","DKS","2019-01-31","USD",8436570000,-5998788000,2437782000,-1993049000,-1986576000,NA,NA,444733000,-12813000,-10248000,431920000,NA,431920000,-112056000,319864000,NA,319864000,319864000,319864000,65347000,83714000,NA,NA,NA,NA,712755000,-198219000,NA,0,-198219000,-89273000,-84041000,-323352000,-502094000,12400000,179423,2018,"Q4","2019-03-29","2019-05-30",94195000,95490000,113653000,37970000,1824696000,2122398000,1565271000,NA,499480000,2064751000,4187149000,1274392000,NA,1504639000,0,778349000,2282988000,1215225000,-1766136000,2455192000,1904161000,4187149000,"DICKS SPORTING GOODS INC",103002
"4675","DLB","2018-09-30","USD",1171924000,-128260000,1043664000,-743666000,-507318000,-236794000,NA,299998000,12869000,18772000,312867000,NA,312867000,-190062000,122805000,NA,122246000,122246000,122805000,173733000,-25619000,NA,NA,NA,NA,352202000,-72814000,186295000,-22852000,78250000,-66155000,NA,-44308000,-133629000,291046000,357388,2018,"Q4","2018-11-15","2018-11-15",103349000,111409000,1096201000,137151000,26206000,1301954000,514182000,187782000,655351000,1357315000,2659269000,248196000,NA,272127000,NA,191024000,463151000,66229000,NA,2139154000,2196118000,2659269000,"Dolby Laboratories, Inc.",103001
"4679","DLPH","2018-12-31","USD",4.858e+09,-3.961e+09,8.97e+08,-4.28e+08,-4.14e+08,NA,-1.4e+07,4.69e+08,-6.3e+07,-7.9e+07,4.06e+08,-3.5e+07,3.71e+08,9e+06,3.8e+08,NA,3.58e+08,3.58e+08,3.8e+08,-1.41e+08,-1.7e+07,NA,NA,NA,NA,4.19e+08,-2.6e+08,NA,NA,-2.76e+08,-1.2e+07,-2.1e+07,NA,-1.08e+08,1.9e+07,928642,2018,"Q4","2019-02-21","2019-05-02",88490000,88620000,3.59e+08,8.78e+08,5.21e+08,1.931e+09,1.445e+09,4.4e+07,4.73e+08,1.962e+09,3.893e+09,1.334e+09,4.3e+07,1.377e+09,1.488e+09,2.078e+09,3.455e+09,4.08e+08,NA,2.96e+08,4.38e+08,3.893e+09,"Delphi Technologies PLC",103005
"4683","DLTH","2018-12-31","USD",568102000,-257700000,310402000,-273221000,-273221000,NA,NA,37181000,-5566000,-5949000,31615000,NA,31615000,-8450000,23165000,NA,23156000,23156000,23165000,9829000,-14493000,NA,NA,NA,NA,31095000,-53036000,-410000,NA,-53735000,NA,16126000,NA,18642000,-3998000,50213,2018,"Q4","2019-04-19","2019-09-13",32281000,32281000,731000,28000,97685000,118198000,167109000,6295000,3703000,177107000,295305000,52111000,5e+05,52611000,44825000,82584000,135195000,89849000,-92000,70592000,160110000,295305000,"DULUTH HOLDINGS INC.",103002
"4693","DLTR","2019-02-28","USD",22823300000,-15875800000,6947500000,-5.16e+09,-5.16e+09,NA,NA,1787500000,-369500000,-3.7e+08,1.418e+09,-2.727e+09,-1.309e+09,-281800000,-1590800000,NA,-1590800000,-1590800000,-1590800000,2957700000,-2.22e+08,-20200000,-369200000,242600000,-75200000,1.766e+09,-817100000,0,NA,-816700000,NA,-1438900000,17500000,-1599900000,-651100000,378128,2018,"Q4","2019-03-27","2019-08-29",238300000,2.39e+08,422100000,NA,3.536e+09,4293300000,3445300000,NA,5762600000,9207900000,13501200000,1476400000,0,2095700000,4344100000,5762600000,7858300000,NA,NA,NA,5642900000,13501200000,"Dollar Tree",102001
"4703","DLX","2018-12-31","USD",1998025000,-791748000,1206277000,-8.54e+08,-8.54e+08,NA,NA,352277000,-18590000,-27112000,333687000,-121056000,212631000,-63001000,149630000,NA,149630000,149630000,149630000,94857000,-36272000,NA,NA,NA,NA,339315000,-62238000,0,-214258000,-275414000,-56669000,201147000,-192477000,-39825000,16440000,639822,2018,"Q4","2019-02-26","2019-02-26",45238000,45367000,59740000,173862000,46441000,450046000,90342000,43773000,1720935000,1855050000,2305096000,391259000,791000,392050000,911073000,997633000,1389683000,44647000,NA,927345000,915413000,2305096000,"DELUXE CORP",100002
"4712","DMD","2018-12-31","USD",155042000,-91159000,63883000,-87205000,-62951000,-20183000,-4071000,-23322000,227000,305000,-23095000,NA,-23095000,-95000,-23190000,NA,-23190000,-23190000,-23190000,9492000,126000,NA,NA,NA,NA,-3302000,-7207000,NA,-10349000,-17548000,NA,NA,25383000,20449000,-365000,652547,2018,"Q4","2019-03-04","2019-03-04",25402000,25402000,31081000,12627000,NA,47640000,13126000,NA,34356000,47482000,95122000,23668000,NA,25783000,NA,2652000,28435000,554406000,-35706000,-451961000,66687000,95122000,"LEAF GROUP LTD.",101002
"4723","DMRC","2018-12-31","USD",21192000,-8426000,12766000,-46290000,-30319000,-15971000,NA,-33524000,1057000,NA,-32467000,NA,-32467000,-39000,-32506000,NA,-32506000,-32506000,-32506000,7298000,1855000,NA,NA,NA,NA,-21210000,-2039000,10537000,NA,8498000,NA,NA,-833000,-833000,-13545000,110139,2018,"Q4","2019-02-22","2019-02-22",11443000,11443000,43656000,3888000,NA,49644000,3955000,NA,8188000,12143000,61787000,1092000,NA,4318000,NA,854000,5172000,162440000,NA,-105875000,56615000,61787000,"Digimarc CORP",101003
"4741","DNKN","2018-12-31","USD",1321617000,-633533000,688084000,-287837000,-246792000,NA,-41045000,400247000,-109398000,-121548000,290849000,-1648000,289201000,-59295000,229906000,NA,229906000,229906000,229906000,304000,-6286000,NA,NA,NA,NA,268955000,-51855000,NA,NA,-51835000,-114828000,-31600000,-585037000,-732360000,-515778000,101599,2018,"Q4","2019-02-27","2019-05-08",82699284,83744389,517594000,140375000,NA,813473000,209202000,146395000,2287511000,2643108000,3456581000,80037000,31650000,539581000,3018100000,3629797000,4169378000,642017000,-1060000,-1338709000,-712797000,3456581000,"DUNKIN' BRANDS GROUP, INC.",103003
"4747","DNOW","2018-12-31","USD",3.127e+09,-2.497e+09,6.3e+08,-5.57e+08,-5.57e+08,NA,NA,7.3e+07,-1.5e+07,NA,5.8e+07,NA,5.8e+07,-6e+06,5.2e+07,NA,5.2e+07,5.2e+07,5.2e+07,2.6e+07,-4.6e+07,NA,NA,NA,NA,7.3e+07,-1.1e+07,NA,NA,-9e+06,NA,-3e+07,NA,-3.7e+07,1.8e+07,558120,2018,"Q4","2019-02-14","2019-02-14",108429410,108855322,1.16e+08,4.82e+08,6.02e+08,1.219e+09,1.06e+08,NA,4.7e+08,5.76e+08,1.795e+09,4.39e+08,NA,4.41e+08,1.32e+08,1.4e+08,5.81e+08,2.035e+09,NA,-6.78e+08,1.214e+09,1.795e+09,"NOW Inc.",107004
"4749","DOCU","2019-01-31","USD",700969000,-192421000,508548000,-934871000,-748903000,-185968000,NA,-426323000,-1885000,-10844000,-428208000,NA,-428208000,1750000,-426458000,NA,-426458000,-426458000,-426458000,458396000,6121000,NA,NA,NA,NA,76086000,-30413000,-415132000,-218779000,-664324000,NA,560756000,50211000,853116000,260742000,810159,2018,"Q4","2019-03-26","2019-09-06",170497919,170497919,769014000,174548000,NA,984521000,75832000,164220000,390844000,630896000,1615417000,118898000,NA,516313000,438932000,484742000,1001055000,1545105000,NA,-928778000,614362000,1615417000,"DOCUSIGN INC",101003
"4751","DOMO","2019-01-31","USD",142464000,-49554000,92910000,-236997000,-161257000,-75740000,NA,-144087000,-8974000,NA,-153061000,NA,-153061000,-1248000,-154309000,NA,-154309000,-154309000,-154309000,28693000,-14538000,NA,NA,NA,NA,-131367000,-7976000,NA,NA,198651000,NA,-4184000,2250000,47708000,115001000,770174,2018,"Q4","2019-03-16","2019-09-12",26938000,26938000,176973000,48421000,NA,246754000,12595000,NA,33283000,45878000,292632000,50748000,NA,139707000,97245000,108398000,248105000,956145000,NA,-912082000,44527000,292632000,"DOMO, INC.",101003
"4760","DORM","2018-12-31","USD",973705000,-600424000,373281000,-202138000,-202138000,NA,NA,171143000,-8000,NA,171135000,NA,171135000,-37533000,133602000,NA,133602000,133602000,133602000,2832000,-86713000,NA,NA,NA,NA,78112000,-26106000,-5e+06,-28040000,-61182000,NA,NA,201000,-44902000,-28233000,742104,2018,"Q4","2019-02-26","2019-02-26",33340000,33504000,43458000,310114000,270504000,629728000,98647000,NA,159182000,257829000,887557000,141590000,NA,141590000,NA,18344000,159934000,48191000,NA,679432000,727623000,887557000,"Dorman Products, Inc.",103005
"4771","DOV","2018-12-31","USD",6992118000,-4432562000,2559556000,-1716444000,-1716444000,NA,NA,843112000,-117734000,-122091000,725378000,0,725378000,-134233000,591145000,-20878000,570267000,570267000,591145000,-21896000,-62636000,NA,NA,NA,NA,789193000,-165086000,NA,-64620000,-245480000,-283570000,-360722000,-894977000,-897838000,-357743000,336327,2018,"Q4","2019-02-15","2019-02-15",109112240,110659580,396221000,1231859000,748796000,2503754000,806497000,NA,5055520000,5862017000,8365771000,1293651000,220318000,1827421000,2943660000,3769684000,5597105000,1143838000,-5947562000,7815486000,2768666000,8365771000,"DOVER Corp",100001
"4782","DOW","2018-12-31","USD",6.0278e+10,-4.7705e+10,1.2573e+10,-5.004e+09,-2.846e+09,-1.536e+09,-6.22e+08,7.569e+09,1.3e+07,-1.118e+09,7.582e+09,-1.664e+09,5.918e+09,-1.285e+09,4.633e+09,NA,4.499e+09,4.499e+09,4.633e+09,-8.22e+08,-3.246e+09,NA,NA,NA,NA,3.894e+09,-2.678e+09,-3.14e+08,1.39e+08,-2.128e+09,-3.711e+09,-1.234e+09,1.12e+08,-5.164e+09,-3.498e+09,378129,2018,"Q4","2019-02-11","2019-02-11",747200000,747200000,2.769e+09,8.246e+09,9.26e+09,2.5263e+10,2.3662e+10,6.865e+09,2.1588e+10,5.2115e+10,7.7378e+10,1.311e+10,6.45e+08,1.3755e+10,1.9254e+10,3.5654e+10,4.9409e+10,7.042e+09,NA,2.9808e+10,2.7969e+10,7.7378e+10,"Dow Chemical",110001
"4788","DPLO","2018-12-31","USD",5492524000,-5116515000,376009000,-335650000,-335650000,NA,NA,40359000,-39694000,-41650000,665000,-307973000,-307308000,5039000,-302269000,NA,-302269000,-302269000,-302269000,326816000,-86617000,NA,NA,NA,NA,35042000,12309000,NA,-13070000,-11235000,NA,-97450000,4098000,-98573000,-74766000,349954,2018,"Q4","2019-03-18","2019-05-10",74436759,74081634,9485000,326602000,210573000,556256000,34525000,NA,885578000,920103000,1476359000,331348000,11500000,558585000,438369000,452690000,1011275000,679955000,NA,-210579000,465084000,1476359000,"Diplomat Pharmacy, Inc.",106005
"4798","DPS","2018-12-31","USD",7.442e+09,-3.56e+09,3.882e+09,-2.645e+09,-2.635e+09,NA,NA,1.237e+09,-4.33e+08,-4.52e+08,8.04e+08,-1.3e+07,7.91e+08,-2.02e+08,5.89e+08,NA,5.86e+08,5.86e+08,5.89e+08,3.34e+08,4.57e+08,NA,NA,NA,NA,1.613e+09,-1.91e+08,NA,-1.9153e+10,-1.9131e+10,-2.32e+08,1.7842e+10,3e+06,1.7577e+10,4.4e+07,378130,2018,"Q4","2019-02-08","2019-05-09",2623300000,2654900000,8.3e+07,1.15e+09,6.26e+08,2.159e+09,2.31e+09,1.86e+08,4.4263e+10,4.6759e+10,4.8918e+10,3.838e+09,1.458e+09,5.702e+09,1.4201e+10,2.0683e+10,2.6385e+10,2.1485e+10,NA,1.178e+09,2.2533e+10,4.8918e+10,"Keurig Dr Pepper Inc.",102005
"4807","DPZ","2018-12-31","USD",3432867000,-2130188000,1302679000,-730990000,-730990000,NA,NA,571689000,-143011000,-143011000,428678000,NA,428678000,-66706000,361972000,NA,361972000,361972000,361972000,2329000,-23795000,NA,NA,NA,NA,394171000,-111521000,NA,NA,-88257000,NA,368782000,-683378000,-322803000,-17427000,338660,2018,"Q4","2019-01-24","2020-02-20",41856017,43331278,25438000,190091000,45975000,566951000,234939000,8718000,96777000,340434000,907385000,214490000,35893000,379743000,3495691000,3567563000,3947306000,979000,NA,-3036471000,-3039921000,907385000,"DOMINOS PIZZA INC",103003
"4816","DRAD","2018-12-31","USD",104180000,-85909000,18271000,-21833000,-20456000,NA,-1377000,-3562000,-812000,-751000,-4374000,-1026000,-5400000,1561000,-3839000,4575000,736000,736000,736000,-5048000,655000,NA,NA,NA,NA,5064000,-68000,-13000,8766000,8685000,-3321000,-10811000,26000,-14156000,-407000,641822,2018,"Q4","2019-02-13","2019-05-08",20245000,20245000,1698000,12642000,5402000,21194000,21645000,NA,7755000,29400000,50594000,9265000,NA,13217000,9500000,11577000,24794000,145430000,-5728000,-113880000,25800000,50594000,"DIGIRAD CORP",106004
"4826","DRE","2018-12-31","USD",947870000,-73075000,874795000,-651205000,-210127000,NA,-312217000,438912000,-46328000,-85006000,392584000,-388000,392196000,-8828000,383368000,3900000,383729000,383729000,387268000,75403000,-234514000,NA,NA,NA,NA,484407000,-1015645000,NA,-5920000,-594430000,-291502000,218488000,34913000,-58087000,-168110000,446513,2018,"Q4","2019-02-22","2019-04-26",358584000,368637000,17901000,14254000,NA,73370000,6852943000,NA,877711000,7730654000,7804024000,89511000,NA,432280000,2658501000,2658501000,3090781000,5247964000,NA,NA,4713243000,7804024000,"Duke Realty Corp",109001
"4836","DRI","2018-05-31","USD",8080100000,-6334700000,1745400000,-975200000,-662100000,NA,-313100000,770200000,-161100000,-161100000,609100000,-3400000,605700000,-1900000,603800000,-7800000,5.96e+08,5.96e+08,603800000,59700000,43200000,NA,NA,NA,43200000,1019800000,-392700000,NA,-40400000,-451100000,-313500000,-108200000,-1.97e+08,-636600000,-86200000,108420,2018,"Q4","2018-07-20","2018-07-20",123600000,125500000,146900000,83700000,205300000,553600000,2429800000,NA,2486200000,4.916e+09,5469600000,511100000,NA,1384500000,926500000,1890300000,3274800000,1631900000,-7800000,657600000,2194800000,5469600000,"DARDEN RESTAURANTS INC",103003
"4847","DRQ","2018-12-31","USD",384626000,-271499000,113127000,-104039000,-104039000,NA,NA,9088000,7749000,7749000,16837000,-131826000,-114989000,19294000,-95695000,NA,-95695000,-95695000,-95695000,101772000,4114000,NA,NA,NA,NA,45503000,-15173000,NA,0,-15173000,NA,NA,-98384000,-99199000,-75080000,113753,2018,"Q4","2019-02-27","2019-04-25",35837000,35837000,418100000,202165000,191194000,852981000,274123000,NA,65406000,339529000,1192510000,72610000,NA,82258000,NA,14090000,96348000,35329000,NA,1205946000,1096162000,1192510000,"DRIL-QUIP INC",107004
"4848","DRTT","2018-12-31","USD",274681000,-167672000,107009000,-101315000,-69349000,-4176000,NA,5694000,3136000,-78000,8830000,NA,8830000,-3280000,5550000,NA,5550000,5550000,5550000,9817000,-19001000,NA,NA,NA,NA,10065000,-8574000,NA,NA,-13462000,NA,-4606000,NA,-3069000,-10072000,963028,2018,"Q4","2019-02-07","2019-11-07",84660000,85096000,53412000,43873000,18650000,118152000,45063000,NA,12696000,57759000,175911000,32583000,2500000,48307000,3125000,4090000,52397000,187177000,NA,-41571000,123514000,175911000,"DIRTT ENVIRONMENTAL SOLUTIONS LTD",103004
"4853","DS","2018-12-31","USD",314369000,-271947000,42422000,-60747000,-38560000,NA,-19704000,-18325000,-14845000,-14845000,-33170000,-5229000,-38399000,-284000,-38683000,NA,-38683000,-44263000,-38683000,-26102000,26914000,NA,NA,NA,NA,-7202000,16536000,0,-7000,25929000,-5580000,-107790000,258000,-109596000,-90869000,816790,2018,"Q4","2019-03-15","2019-08-06",67027642,67027642,82188000,7518000,NA,113537000,132605000,22613000,133192000,288410000,401947000,45284000,5489000,103659000,61689000,163621000,267280000,3176513000,NA,-3105307000,134667000,401947000,"Drive Shack Inc.",103015
"4862","DSW","2019-01-31","USD",3183738000,-2239229000,944509000,-826042000,-826042000,NA,NA,118467000,-47030000,1288000,71437000,-60760000,10677000,-29833000,-20466000,NA,-20466000,-20466000,-20466000,121593000,-4841000,NA,NA,NA,NA,175334000,-65355000,54401000,-199403000,-226346000,-79795000,104333000,NA,-25703000,-75364000,596024,2018,"Q4","2019-03-26","2019-08-30",79410000,76794000,169087000,68870000,645317000,955219000,409576000,NA,255789000,665365000,1620584000,463160000,NA,463160000,1.6e+08,325047000,788207000,978794000,-373436000,254718000,832377000,1620584000,"DSW Inc.",103002
